date,title,description,format,recording_available
2024-04-24,TUMuchData Industry Talk on MotherDuck: Serverless Data Analytics with DuckDB,"Join Peter Boncz, a senior researcher at CWI's Database Architectures group, to hear insights into his latest industry endeavor, MotherDuck, the company bringing DuckDB to the cloud.",In Person,NO
2024-04-24,Data Peeps NYC: Trivia Night Edition,"Calling all our data peeps: join the MotherDuck NYC team for a beverage, a slice, and a riveting round of data-themed trivia with the local data community. There will be prizes!",In Person,NO
2024-04-24,DuckDB 101 Workshop,"Join us for a FREE hands-on workshop on DuckDB! Mehdi Ouazza, data engineer and developer advocate at MotherDuck, will guide you through everything you need to know about DuckDB and how it can enhance your analytical journey.",In Person,NO
2024-05-15,DuckDB & Iceberg : The Future of Lightweight Data Management,"Join Brian from Tabular and Mehdi for a fun and informative session exploring the world of table formats, with a special focus on Iceberg and DuckDB. Get ready to quack... and code.",Online,YES
2024-05-18,PyCon US 2024: Talk on Python + DuckDB,"Alex Monahan and Gabor Szarnyas of  MotherDuck and DuckDB Labs will present a talk on ""Python and SQL: Better Together, Powered by  @DuckDB.""",In Person,NO
2024-05-20,MotherDuck / DuckDB Meetup [Seattle],"Join us for an exciting in-person MotherDuck / DuckDB meetup 🐥 at the MotherDuck office in Seattle on May 20, 2024, from 6:00 PM to 9:00 PM! We'll have two engaging talks, networking opportunities with industry experts, and SWAG for attendees.",In Person,NO
2024-05-22,Data @Scale Conference: Taking Flight with Interactive Analytics,"Join Frances Perry, Engineer Manager at MotherDuck, for a talk and walkthrough of interactive visualizations done in-browser using Mosaic and WebAssembly (WASM), powered by DuckDB and extended to the cloud with MotherDuck's serverless analytics platform.",Online,NO
2024-05-29,GoodMeetup #5: What the Duck is Up with DuckDB?,"Explore the power of DuckDB and MotherDuck at our first Central/Eastern Europe meetup! Featuring Mehdi Ouazza from MotherDuck and Jan Soubusta from GoodData, discover how DuckDB enhances analytics. Join Mehdi for a free pre-meetup workshop in Prague",In Person,NO
2024-06-03,MotherDuck'ing Party @ Snowflake Summit ❄️,"Following the first day of Snowflake Summit, join MotherDuck at a ducking awesome party at 111 Minna (conveniently located around the corner from SFMOMA). The DuckDB and MotherDuck communities are invited to eat, drink, play games, and be merry!",In Person,NO
2024-06-06,European Data Meetup: Vector Embeddings + RAG Use Cases in MotherDuck,"Join Adithya Krishnan, AI Software Engineer, for a talk on Vector Embeddings + RAG use cases in MotherDuck. We'll cover what textual data analytics looks like in a data warehouse as well as the path towards implementation and the associated benefits.",In Person,NO
2024-06-09,MotherDuck at the DEEM Workshop at SIGMOD,"MotherDuck's Effy Li, Researcher, and Till Döhmen, AI/ML Lead, will present their paper ""Towards Efficient Data Wrangling with LLMs using Code Generation"" at the 7th Data Management for End-to-End Machine Learning (DEEM) Workshop at SIGMOD.",In Person,NO
2024-06-11,MotherDuck'ing Party @ Databricks 🧱 Data + AI Summit,"Following Day 2 of the Data+AI Summit, join MotherDuck at 111 Minna for a ducking awesome party featuring street food, games, and more! The event is co-located in San Francisco with the Databricks Data+AI Summit.",In Person,NO
2024-06-18,Getting Started with MotherDuck,"Join MotherDuck experts for an interactive, live demo on how to make analytics fun, frictionless, and ducking awesome. Learn how to go from question to insight faster with the most efficient cloud SQL analytics data warehouse powered by DuckDB.",Online,NO
2024-06-20,Quacking the Code to Multi-Tenant Embedded Analytics with GoodData & MotherDuck,"Learn how to use MotherDuck with GoodData for embedded analytics with multitenancy, without compromising on speed or cost!",Online,NO
2024-06-27,The Future of Programming: Accelerating Coding Workflows with LLMs @ RADAR - AI Edition,"Join MotherDuck Co-founder and CEO Jordan Tigani for a panel discussion on the practical applications of LLMs in coding workflows, how to best integrate AI into the workflows of data teams, what the future holds for AI-assisted coding, and more.",Online,NO
2024-07-09,SciPy 2024: All the SQL a Pythonista needs to know: an introduction to SQL and DataFrames with DuckDB,"Learn how to use Structured Query Language (SQL) with DuckDB and your favorite Python tools. We'll run SQL queries, learn how to share data, and teach it how to fly with Cloud providers like AWS and analytics data warehouses like MotherDuck!",In Person,NO
2024-07-09,"Hack Night @ Github with MotherDuck, Weaviate, and Friends",​​Join us for an incredibly fun Hack Night at GitHub!,In Person,NO
2024-07-12,SciPy 2024: How to bootstrap a Data Warehouse with DuckDB,"Learn how to set up a Data Warehouse from scratch with DuckDB and other OSS tools. We'll set up a data pipeline and a live data exploration dashboard, all running right on your laptop. Finally, we'll also extend our workflows to the cloud with MotherDuck.",In Person,NO
2024-07-23,Data Lakes Drive Next-Gen AI Infrastructure,Join MotherDuck CEO Jordan Tigani and Fivetran CEO George Fraser for a discussion on considerations and approaches to building a single data platform consolidated on a data lake or a lakehouse.,Online,NO
2024-07-23,Ducks in a Row: Take Flight with the Modern Duck Stack,"This upcoming webinar with MotherDuck and Dataring dives into why companies are jumping on the duck train: Performance, cost-efficiency, and scalability.",Online,YES
2024-07-31,Data Discoverability with Secoda and MotherDuck,"Join Secoda and MotherDuck for a masterclass in using dbt, MotherDuck, and Secoda to enable data producers and consumers, regardless of technical ability, to easily locate and access the data they need.",Online,YES
2024-08-07,MotherDuck/DuckDB Meetup: NYC Edition,"We are pleased to announce our next in-person user group meetup in NYC to talk about MotherDuck, DuckDB, and all things data and analytics featuring talks from Nick Ursa, Matt Forrest, and Joseph Machado!",In Person,NO
2024-08-14,"Happy Hour with Madrona, Zetta, Fixie, and MotherDuck","​Join us for an evening of fun drinks, snacks, and conversation with builders in AI and Data, hosted by Madrona, Zetta, Fixie, and MotherDuck. ​See you there!",In Person,NO
2024-08-15,DuckCon #5,"Join us for DuckCon #5, the DuckDB user group meeting, at the SIFF Cinema Egyptian.",In Person,NO
2024-08-29,"Data for AI Presents: The Open Source Afterparty w/ MotherDuck, Datastrato, & More!","Join us for an exciting evening of insights, networking, and innovation as we explore the cutting-edge world of data infrastructure and platforming for Generative AI, multimodal models, and beyond.",In Person,NO
2024-09-09,dbt Data Modeling Challenge - #SocialMedia Edition,"Paradime, Hex, and MotherDuck have joined forces to bring data professionals worldwide a one-of-a-kind competition with some sweet prizes. Showcase your dbt, analytics, and SQL prowess on a global stage for a panel of esteemed judges!",Online,NO
2024-09-12,Going Beyond Two Tier Data Architectures with DuckDB,DuckDB's co-creator Hannes Mühleisen will give a talk at the virtual Data Engineering for AI/ML conference on September 12 at 4:20PM CEST,Online,NO
2024-09-12,"DuckDB is fast for analytics, but what can it do for AI?","Data Engineering for AI/ML is a virtual conference where Mehdi from MotherDuck will highlight the importance of efficient search mechanisms, focusing on DuckDB's capabilities within an LLM stack",Online,NO
2024-09-23,Small Data SF,Most workloads don't require Petabytes of data...so why are we obsessed with engineering our systems and workflows for Petabyte scale? Let's simplify our work by taking advantage of advances in hardware.,In Person,NO
2024-09-24,A new paradigm for data visualization with just SQL + Markdown,"Come to this Quack&Code where Mehdi will discuss data visualization with DuckDB/MotherDuck, specifically focusing on Evidence! Archie, who is building evidence.dev, will join us to share his wisdom on charts ;-)",Online,YES
2024-10-07,MotherDuck @ dbt Coalesce 2024,"Join MotherDuck at dbt Coalesce in Las Vegas! Explore how we're revolutionizing data pipelines, enjoy cool swag & interactive booth activities, and mingle with your data peers.",Hybrid,NO
2024-10-08,Simplify your dbt Data Pipelines with Serverless DuckDB,"Learn how to streamline data flow complexity and expenses while reaping the benefits of an ergonomic and frictionless workflow with MotherDuck, the serverless DuckDB-backed cloud data warehouse.",In Person,NO
2024-10-08,Introduction to DuckDB SQL,Online webinar introduction to DuckDB,Online,NO
2024-10-09,Gatsby's Golden Happy Hour @ dbt Coalesce!,"Felicis, Metaplane and MotherDuck invite you to unwind with cocktails, conversations, and good vibes at the ultimate analytics engineering conference in Las Vegas after a day of diving into the data with your fellow data people! 🥂",In Person,NO
2024-10-10,Harnessing AI for Relational Data: Industry and Research Perspectives,"Join MotherDuck, Numbers Station and WeWork at #SFTechWeek for insightful talks and a panel with leading academics and industry professionals!",In Person,NO
2024-10-17,DuckDB Amsterdam Meetup #1,Join us for the first DuckDB Amsterdam meetup! Hear from experts about real-world applications of DuckDB related to analytics engineering at Miro and how MotherDuck uses AI and machine learning.,In Person,NO
2024-10-17,It's Ducking Easy: From Zero to Insight with MotherDuck and dbt,"Join MotherDuck for an interactive demo of how easy it is to get started with MotherDuck & dbt. Learn how to load data with SQL, speed transforms with DuckDB's efficiency, and run queries in the MotherDuck SQL interface.",Online,YES
2024-10-28,The Postmodern Data Stack,"Tomasz Tunguz hosts a panel at TechCrunch Disrupt on the Postmodern Data Stack with Jordan Tigani of MotherDuck, Colin Zima of Omni, and Tyson Mao of Tobiko Data.",In Person,NO
2024-10-29,Data Streaming Summit: MotherDuck & the AI Lakehouse,"Join MotherDuck's Jacob Matson to explore why ""Big Data is Dead"". Discover how DuckDB combined with serverless compute extends the data warehouse, supporting parquet, csv, json, Iceberg, Delta, and enabling fast AI workloads.",In Person,NO
2024-10-30,Quack & Code: pg_duckdb with engineer Jelte Fennema-Nio,"Mark your calendar for the latest Quack & Code, Mehdi interviews Jelta Fennema-Nio, engineer and long-time contributor to the Postgres community who just released pg_duckdb along with others at MotherDuck, Hydra and DuckDB Labs.",Online,NO
2024-10-31,ODSC West: Small Data Manifesto: Data infrastructure to build bigger with less,"Ryan Boyd, co-founder at MotherDuck, presents at the ODSC Data Engineering West summit. This talk will explore the simple joys of small data, how more data != better results, how single machines are efficient + powerful and developing locally just works.",Online,NO
2024-11-08,PyData NYC: A Duck in the hand is worth two in the Cloud: Data preparation and analytics on your laptop with DuckDB,"Guen Prawiroatmodjo & Jacob Matson will showcase how DuckDB replaces Spark for 10GB-1TB tasks on laptops with fast, seamless Python integration, enabling efficient analytics and easy Cloud deployment via MotherDuck's serverless support.",In Person,YES
2024-11-13,DataGalaxy Tech Summit NYC: How to put DuckDB to work today?,"Nick Ursa of MotherDuck will present a talk on DuckDB. DataGalaxy brings together industry experts to share their insights on optimizing data models, choosing the best data storage formats, and insights on streamlining data ingestion processes.",In Person,NO
2024-11-13,"Small Data NYC: Watch Party Wednesday with Altana, Jamsocket and MotherDuck",Join the Small Data community for Watch Party Wednesday to get a sneak peek of Small Data SF talks from Benn Stancil and MotherDuck CEO and Co-founder Jordan Tigani.,In Person,NO
2024-11-21,AI Native Summit 2024,"Join MotherDuck CEO Jordan Tigani and AI leaders across research, startups and global companies for a day of discussion about the state of enterprise AI.",In Person,NO
2024-11-21,Seattle: Iceberg Streaming Analytics Meetup,"Join MotherDuck, RisingWave, and Confluent for an evening exploring the intersection of streaming analytics, Apache Iceberg, and modern data architectures.",In Person,NO
2024-12-03,Data Rock N' Roll at AWS re:Invent,"Attendees will enjoy a fun-filled atmosphere where they can network with fellow AWS enthusiasts, industry leaders, and innovators while competing in friendly bowling matches.",In Person,NO
2025-01-14,Webinar | Shifting Left and Moving Forward with MotherDuck and Dagster,"Explore how MotherDuck and Dagster streamline data workflows, empower teams, and enable seamless transitions from local development to cloud analytics. Perfect for optimizing your processes and accelerating insights.",Online,NO
2025-01-20,"Compete for a $10,000 prize pool with the Airbyte + MotherDuck Hackathon!","We're thrilled to announce our hackathon to bring together the power of Airbyte and MotherDuck to solve the needs of delivering modern data integration, AI, and analytics solutions.",Online,NO
2025-01-23,Webinar | Getting Started with MotherDuck,"​Looking to get started with MotherDuck and DuckDB? Join us for a live session to learn how MotherDuck makes analytics fun, frictionless, and ducking awesome!",Online,NO
2025-01-31,DuckCon #6: Amsterdam,"DuckCon #6, DuckDB's next user group meeting in Amsterdam, the Netherlands. The event will be in person + streamed online on the DuckDB YouTube channel. Talks will be announced in late October / early November.",Hybrid,NO
2025-01-31,"Supercharge DuckDB with MotherDuck: Scale, Share, and Simplify Analytics",Level up your DuckDB experience with a MotherDuck Workshop,In Person,NO
2025-02-13,Local Dev to Cloud Prod,MotherDuck runs DuckDB locally and in the cloud at the same time. That means you can develop dbt models on your laptop and push to production without switching tools or waiting for cloud spin-up. We'll show how this dual execution model works and where it actually saves time in a real dbt workflow.,Online,NO
2025-02-20,Getting Started with MotherDuck,"New to MotherDuck? We'll show you how to get data in, write your first queries, and poke around the UI. It's a live session, so bring questions. By the end you'll have a working setup you can keep using.",Online,NO
2025-02-26,Fast & Scalable Analytics Pipelines with MotherDuck & dltHub,"dltHub is a Python package for ETL. MotherDuck is a cloud DuckDB warehouse. Together they let you write a pipeline in Python, test it locally against DuckDB, and deploy to MotherDuck without rewriting anything. We'll demo the full loop: pulling data from a few different sources, loading it, and querying the results.",Online,NO
2025-03-11,"Panel: Scaling DuckDB to TBs and PBs with Smallpond, MotherDuck, and homegrown solutions","DeepSeek's smallpond hit 110TB on distributed DuckDB and everyone lost their minds. But what are the real options for scaling DuckDB today? Jordan Tigani (MotherDuck), Jake Thomas (Okta), and Mehdi Ouazza (MotherDuck) talk through what actually works: when to throw more RAM at it vs. going distributed, how serverless compares, and what Okta learned running DuckDB on large datasets in production.",Online,YES
2025-03-26,bem AI + Data Panel,"Tomasz Tunguz (Theory Ventures), Jordan Tigani (MotherDuck), and Karan Goel (Cartesia) sit down for a panel on what's actually working in Data + AI product building, and what isn't. Moderated by Upal Saha (bem). Networking and drinks at 5:30, panel and Q&A from 6 to 7:30.",In Person,NO
2025-03-27,Build a Real-Time CDC Pipeline with Estuary & MotherDuck,"Most CDC setups are a pain to configure. This webinar shows a simpler way: Estuary handles the real-time streaming from your transactional database, MotherDuck handles the analytics on the other end. We'll build a working pipeline live, from Postgres to queryable data in MotherDuck, and talk through the tradeoffs compared to batch approaches.",Online,NO
2025-04-02,Getting Started With The DuckDB UI & MotherDuck,"Looking to get started with MotherDuck and DuckDB? Join us for a live session to learn how MotherDuck makes analytics fun, frictionless, and ducking awesome!",Online,NO
2025-04-03,Database is the Heart of the Business: Community Meetup,MotherDuck co-founder Ryan Boyd will keynote this large community meetup outside Seattle.,In Person,NO
2025-04-09,Practical Uses for AI in Your Data Workflows,"Four people who use AI in their data work every day talk about what's actually useful. Mehdi on MCP feedback loops for shorter test-deploy cycles. Archie on Cursor configs for data app dev. Nate on using LLMs to clean CRM data with SQL. Evelyn on auto-generating column descriptions for data catalogs. Lightning talks, then a group discussion moderated by Jacob Matson.",Online,YES
2025-04-16,"Hold on, where's my context...","Much of AI-assisted tooling depends significantly on obtaining the appropriate context for the specific task. But how exactly do these AI tools retrieve and utilize this context? And how can you, as a user, effectively provide and work with this context?",In Person,NO
2025-04-22,Data Council 2025,"Join MotherDuck at Data Council 2025. We'll have a booth, so stop by and quack with us!",In Person,NO
2025-04-22,[Data Council Workshop] More than a vibe: AI-Driven SQL that actually works,"In this hands-on workshop, we will demonstrate how AI can empower you to ""vibe code""—using AI to write accurate SQL, enabled only by the magic of MotherDuck & DuckDB.",In Person,YES
2025-04-23,Data Talks on the Rocks: Real-time Roundtable @ Data Council,"Once Data Council Day 2 comes to an end, walk across the street for Data Talks on the Rocks at Lake Chalet featuring a roundtable discussion with MotherDuck Co-founder and CEO Jordan Tigani.",In Person,NO
2025-04-23,[Data Council Session] Instant Preview Mode: Real-Time Feedback to Make SQL Data Exploration Fly,"Imagine writing SQL queries that give you instant visual feedback, transforming your data exploration experience. In this talk, join MotheDuck engineer Hamilton Ulmer to learn how Instant Preview Mode breaks traditional development barriers.",In Person,YES
2025-04-23,A Practical Guide to Context Management for Data Agents,Peter Chapman (Virgil Data) and Jacob Matson (MotherDuck) walk through practical strategies for managing context in data agents.,Online,YES
2025-04-24,Getting Started with MotherDuck + Sneak Peek of Instant Preview Mode,"​​​Looking to get started with MotherDuck and DuckDB? Join us for a live session to learn how MotherDuck makes analytics fun, frictionless, and ducking awesome!",Online,NO
2025-05-08,Getting Started with MotherDuck,"​​​Looking to get started with MotherDuck and DuckDB? Join us for a live session to learn how MotherDuck makes analytics fun, frictionless, and ducking awesome!",Online,NO
2025-05-14,Stay in Flow with MotherDuck's Instant SQL,See how MotherDuck's Instant SQL breaks through traditional development barriers by providing real-time results as you type.,Online,YES
2025-05-15,ODSC East: Making Big Data Feel Small with DuckDB,"Ryan Boyd, co-founder at MotherDuck, will speak at ODSC East. Learn how well an ""embedded database"" scales! DuckDB is being used in production to process terabytes and petabytes of data.",In Person,NO
2025-05-21,Stay in Flow with MotherDuck's Instant SQL,See how MotherDuck's Instant SQL breaks through traditional development barriers by providing real-time results as you type.,Online,YES
2025-05-28,Cultivating Growth: How Gardyn Scaled its Data Operations,"Join Gardyn's Rob Teeuwen, and MotherDuck's Jacob Matson for a behind‑the‑scenes look at how a lean stack replaced an overheating MySQL replica and endless pipeline pain.",Online,YES
2025-06-01,The Dive,"Catch us outside at The Dive. MotherDuck's home base for the week. Duck out of the Moscone walls for 2.5 days of epic sessions, live demos, and a whole lot of ducking, surprising, and delighting.",In Person,NO
2025-06-02,Paaartaaaay with Ducks at Snowflake Summit,"Waddle on over after Day 1 of Snowflake Summit for a MotherDucking après-summit celebration. Come chill, enjoy tasty bites, flocking fun games and a chance to shake your tail feathers! Arrive for the vibes, stay for the flock.",In Person,NO
2025-06-04,Getting Started with MotherDuck,"​​​Looking to get started with MotherDuck and DuckDB? Join us for a live session to learn how MotherDuck makes analytics fun, frictionless, and ducking awesome!",Online,NO
2025-06-10,Paaartaaaay with Ducks at Data + AI Summit,"​​Time to let loose and your feathers fly! Following Day 2 of Databricks Data + AI Summit, glide on over to the MotherDuck party, where we'll have treats for your beaks and some data-fueled revelry to ignite your night.",In Person,NO
2025-06-17,DuckLake & The Future of Open Table Formats,"Join MotherDuck CEO Jordan Tigani and DuckDB's Hannes Mühleisen for an in-depth discussion about DuckLake, the new lakehouse format that's rethinking how we handle metadata and open table formats.",Online,YES
2025-06-26,Getting Started with MotherDuck & DuckLake,​Join us for a special edition of our Getting Started with MotherDuck webinar where we'll cover how to use DuckLake with MotherDuck.,Online,NO
2025-07-22,Seattle Summer Fireside Chat: The Future of AI,"Join Edge Delta's Seattle fireside chat where MotherDuck CEO Jordan Tigani and tech leaders from Snowflake, Microsoft, and Elastic discuss the critical trends shaping AI today.",In Person,NO
2025-07-24,Duck Duck Stream: How to Efficiently Load Data into DuckLake with Estuary,Learn how to efficiently stream and load data into MotherDuck's hosted DuckLake using Estuary's real-time data integration platform for seamless analytics workflows.,Online,YES
2025-07-31,AI Hack & Quack,Join the MotherDuck & Hypermode teams for an evening of hacking & quacking at the MotherDuck Seattle office!,In Person,NO
2025-08-08,Getting Started with MotherDuck,"​​​Looking to get started with MotherDuck and DuckDB? Join us for a live session to learn how MotherDuck makes analytics fun, frictionless, and ducking awesome!",Online,NO
2025-08-12,MotherDuck x molab Show-and-Tell,Live demo: Connect MotherDuck cloud data to Marimo's reactive notebooks in molab. See how to query and visualize your data seamlessly in an interactive Python environment.,Online,NO
2025-08-26,"Seattle AI Workshop Night With Neo4j, Hypermode and MotherDuck","Join the Seattle AI community for a hands-on workshop night focused on building AI agents with MCP, analyzing data, and building knowledge graphs.",In Person,NO
2025-08-28,Hex Partners and Agents Data Mixer,"Join us to celebrate the launch of Hex's new Notebook Agent with a rooftop happy hour. ​It'll be an evening of great views, good conversations, and a chance to connect with fellow data folks.",In Person,NO
2025-09-01,PyData Berlin - More than DataFrames: Data Pipelines with the Swiss Army Knife DuckDB,"We'll cover common use cases like ETL, lightweight data orchestration, and interactive analytics workflows. You'll leave with a solid mental model for using DuckDB effectively as the ""SQLite for analytics.""",In Person,NO
2025-09-03,DuckDB Meets AI: When Analytics Powers AI Memory with Cognee,"Mehdi Ouazza and Vasilije Markovic will demystify what AI memory really is, why knowledge graphs matter for accurate AI responses, and showcase cognee",Online,NO
2025-09-04,Getting Started with MotherDuck,"Join us for a live session to learn how MotherDuck makes big data feel small. ​​​​​​​We'll guide you through getting data into MotherDuck, exploring its powerful features, and understanding how it integrates seamlessly into your workflow.",Online,NO
2025-09-08,Motherduck / DuckDB Special - multiple talks,Tech meetup in Frankfurt with two talks on DuckDB/MotherDuck,In Person,NO
2025-09-09,Frankfurt Meetup Motherduck / DuckDB Special,Come for a special tech meetup organized by tech&talk Frankfurt about DuckDB,In Person,NO
2025-09-10,AI Native Summit 2025 (by Zetta),"This event brings together AI leaders across research, startups and global companies for a day of discussion about the state of enterprise AI. MotherDuck CEO Jordan Tigani is speaking. We are also sponsoring and have a demo booth.",In Person,NO
2025-09-10,From Curiosity to Impact: How DoSomething Democratized Data,"​Hear how DoSomething's data team escaped the enterprise data trap, achieving 20X cost reduction and transforming hours-long queries into seconds with MotherDuck and Tableau.",Online,YES
2025-09-18,Modern Data Infra Summit,"Ryan Boyd, co-founder at MotherDuck, speaking about DuckLake. We're also sponsoring this event along with Dragonfly, ScyllaDB, GreptimeDB, Redpanda and TiDB",In Person,NO
2025-09-24,Big Data London,Don't miss MotherDuck CEO Jordan Tigani speaking in the Data Engineer Theatre—and swing by booth B27 to say hello! We've got some exciting news we'll be sharing that you won't want to miss!,In Person,NO
2025-09-24,MotherDuck'ing Big Data London Party,"Join us for for Beers, Bites, & Good Ducking Fun at Big Data London! Following day 1 of BDL, escape from the expo floor and come shake your tail feathers with us. Expect pints aplenty and flocking-fun games.",In Person,NO
2025-09-25,"From Raw Data to Insights with Datacoves, dbt, and MotherDuck","In this session, we'll show how Datacoves and MotherDuck make it possible to connect directly to S3, build dbt models in DuckLake, and visualize the results.",Online,YES
2025-10-07,Just use Postgres (and DuckDB): a Postgres + DuckDB Community Night #SFTechWeek,"Elephants, ducks, we're all from the same zoo. Join us during SF Tech Week for an evening exploring how PostgreSQL and DuckDB work better together!",In Person,NO
2025-10-09,Streaming Kafka Data into MotherDuck with Estuary Flow,"We'll show you how Estuary Flow bridges Kafka and MotherDuck with a simple, declarative approach to stream ingestion",Online,NO
2025-10-13,Coalesce,Join dbt Labs and thousands of data enthusiasts at Coalesce to rethink how the world does data. We'll be there sponsoring (booth #104)—and quackin' our way through a breakout session you won't want to miss!,Hybrid,YES
2025-10-14,Simplifying the Transformation Layer,​Join MotherDuck and Xebia to learn about the latest in architectures for the transformation layer and what companies are using in the real world.,Online,YES
2025-10-15,Data Apps: to Build or Not to Build?,"Join MotherDuck and Codecentric for a discussion all about data apps: when to build one, when not to, plus a hands-on example showing how to launch an internal data app without over-engineering by using MotherDuck.",Online,NO
